title,url,description,author,scraped_at,source
The Shocking Secrets of Madison Square Garden’s Surveillance Machine,https://www.wired.com/story/madison-square-garden-jim-dolan-surveillance-machine/,"Famously vengeful Knicks owner Jim Dolan has long spied on people at his iconic arenas. WIRED goes deep inside the operation that allegedly tracked a trans woman, lawyers, protesters, and more.",By NOAH SHACHTMAN,2026-04-23T22:16:18.211110,Wired.com
How the Internet Broke Everyone’s Bullshit Detectors,https://www.wired.com/story/how-the-internet-broke-everyones-bullshit-detectors/,"From AI-generated images to restricted satellite data, the systems used to verify what’s real online are struggling to keep up.",By GIA CHAUDRY,2026-04-23T22:16:24.301428,Wired.com
How to Organize Safely in the Age of Surveillance,https://www.wired.com/story/how-to-organize-safely-in-the-age-of-surveillance/,"From threat modeling to encrypted collaboration apps, we’ve collected experts’ tips and tools for safely and effectively building a group—even while being targeted and tracked by the powerful.",By ANDY GREENBERG,2026-04-23T22:16:30.328004,Wired.com
How to Protest Safely in the Age of Surveillance,https://www.wired.com/story/how-to-protest-safely-surveillance-digital-privacy/,Law enforcement has more tools than ever to track your movements and access your communications. Here’s how to protect your privacy if you plan to protest.,By ANDY GREENBERG,2026-04-23T22:16:35.262562,Wired.com
8 WhatsApp Features to Boost Your Security and Privacy,https://www.wired.com/story/5-features-that-boost-security-and-privacy-on-whatsapp/,Meta’s end-to-end encrypted messaging app is used by billions of people. Here’s how to make sure you’re one of the most locked-down ones out there.,By KATE O'FLAHERTY,2026-04-23T22:16:40.280780,Wired.com
Europe’s Online Age Verification App Is Here,https://www.wired.com/story/europes-online-age-verification-app-is-here/,"Available for free to any company that wants to use it, the “completely anonymous” app puts the pressure on porn sites and social media platforms to start blocking access by minors.",By VALENTINA NERI,2026-04-23T22:16:47.516266,Wired.com
The Deepfake Nudes Crisis in Schools Is Much Worse Than You Thought,https://www.wired.com/story/deepfake-nudify-schools-global-crisis/,An analysis by WIRED and Indicator found nearly 90 schools and 600 students around the world impacted by AI-generated deepfake nude images—and the problem shows no signs of going away.,By MATT BURGESS,2026-04-23T22:16:54.388219,Wired.com
Telegram Is Still Hosting a Sanctioned $21 Billion Crypto Scammer Black Market,https://www.wired.com/story/telegram-is-still-hosting-a-sanctioned-21-billion-crypto-scammer-black-market/,The UK designated Xinbi Guarantee as an enabler of crypto scammers and human trafficking weeks ago. Telegram is still hosting it in plain sight.,By ANDY GREENBERG,2026-04-23T22:17:01.954108,Wired.com
The FCC Has a Fast Lane for Complaints About Trump’s Media Critics,https://www.wired.com/story/the-fcc-has-a-fast-lane-for-complaints-about-trumps-media-critics/,Internal emails obtained by WIRED reveal how a conservative legal group with a direct line into FCC chairman Brendan Carr’s office built the case against Jimmy Kimmel and his employees.,By DELL CAMERON,2026-04-23T22:17:07.437036,Wired.com
"In the Wake of Anthropic’s Mythos, OpenAI Has a New Cybersecurity Model—and Strategy",https://www.wired.com/story/in-the-wake-of-anthropics-mythos-openai-has-a-new-cybersecurity-model-and-strategy/,"OpenAI says its safeguards “sufficiently reduce cyber risk” for now, while GPT-5.4-Cyber is a new cybersecurity-focused model.",By LILY HAY NEWMAN,2026-04-23T22:17:13.921848,Wired.com
Meta Is Warned That Facial Recognition Glasses Will Arm Sexual Predators,https://www.wired.com/story/meta-ray-ban-oakley-smart-glasses-no-face-recognition-civil-society/,"More than 70 organizations, including the ACLU, EPIC, and Fight for the Future, say the AI smart glasses feature would endanger abuse victims, immigrants, and LGBTQ+ people.",By DELL CAMERON,2026-04-23T22:17:20.237782,Wired.com
Politicians Are Spending More Money on Security as They Increasingly Become Targets,https://www.wired.com/story/political-campaign-security-spending/,"Political candidates are purchasing more home alarms, bulletproof vests, and other protections amid rising fears of political violence.",By MADDY VARNER,2026-04-23T22:17:25.085558,Wired.com
‘We Were Not Ready for This’: Lebanon's Emergency System Is Hanging by a Thread,https://www.wired.com/story/we-were-not-ready-for-this-lebanons-emergency-system-is-hanging-by-a-thread/,"In Lebanon, nearly 1 in 5 people has been displaced by Israeli attacks, leaving the government to manage a modern crisis without modern digital infrastructure.",By CARLA SERTIN,2026-04-23T22:17:31.490090,Wired.com
Men Are Buying Hacking Tools to Use Against Their Wives and Friends,https://www.wired.com/story/men-are-buying-hacking-tools-to-use-against-their-wives-and-friends/,"In Telegram groups, men are sharing thousands of nonconsensual images of women and girls, buying spyware, and engaging in doxing and sexual abuse.",By MATT BURGESS,2026-04-23T22:17:37.841020,Wired.com
Iran-Linked Hackers Are Sabotaging US Energy and Water Infrastructure,https://www.wired.com/story/iran-linked-hackers-are-sabotaging-us-energy-and-water-infrastructure/,"As Trump threatens Iranian infrastructure, the US government warns that Iran has carried out its own digital attacks against US critical infrastructure.",By ANDY GREENBERG,2026-04-23T22:17:43.553838,Wired.com
Anthropic Teams Up With Its Rivals to Keep AI From Hacking Everything,https://www.wired.com/story/anthropic-mythos-preview-project-glasswing/,"The AI lab's Project Glasswing will bring together Apple, Google, and more than 45 other organizations. They'll use the new Claude Mythos Preview model to test advancing AI cybersecurity capabilities.",By LILY HAY NEWMAN,2026-04-23T22:17:49.285422,Wired.com
Border Patrol Agents Sold Challenge Coins With Charlotte’s Web Characters in Riot Gear,https://www.wired.com/story/us-border-patrol-challenge-coins-nonprofits/,"Nonprofits run out of US Border Patrol stations are also selling other “operation”-themed coins that include a phrase popularized by the Proud Boys, potentially in violation of government rules.",By MADDY VARNER,2026-04-23T22:17:55.958288,Wired.com
The Hack That Exposed Syria’s Sweeping Security Failures,https://www.wired.com/story/inside-the-hack-that-exposed-syrias-security-failures/,"When Syrian government accounts were hijacked in March, the breach looked chaotic. But it revealed something more troubling: a state struggling with the most basic layer of cybersecurity.",By DANNY MAKKI,2026-04-23T22:18:02.707732,Wired.com
Security News This Week: Hackers Are Posting the Claude Code Leak With Bonus Malware,https://www.wired.com/story/security-news-this-week-hackers-are-posting-the-claude-code-leak-with-bonus-malware/,"Plus: The FBI says a recent hack of its wiretap tools poses a national security risk, attackers stole Cisco source code as part of an ongoing supply chain hacking spree, and more.",By ANDY GREENBERG,2026-04-23T22:18:09.217589,Wired.com
Meta Pauses Work With Mercor After Data Breach Puts AI Industry Secrets at Risk,https://www.wired.com/story/meta-pauses-work-with-mercor-after-data-breach-puts-ai-industry-secrets-at-risk/,"Major AI labs are investigating a security incident that impacted Mercor, a leading data vendor. The incident could have exposed key data about how they train AI models.",By MAXWELL ZEFF,2026-04-23T22:18:14.434425,Wired.com
CBP Facility Codes Sure Seem to Have Leaked Via Online Flashcards,https://www.wired.com/story/cbp-facility-codes-sure-seem-to-have-leaked-via-online-flashcards/,"The Quizlet flashcards, which WIRED found through basic Google searches, seem to include sensitive information about gate security at Customs and Border Protection locations.",By SAMMY SUSSMAN,2026-04-23T22:18:20.988879,Wired.com
"Uncanny Valley: Iran’s Threats on US Tech, Trump’s Plans for Midterms, and Polymarket’s Pop-up Flop",https://www.wired.com/story/uncanny-valley-podcast-iran-targets-us-tech-polymarket-pop-up-trump-midterms/,"In this episode, we discuss Iran’s threats to target US tech firms, gear up for the midterm elections, and get a scene report from the Polymarket pop-up bar in DC.",By BRIAN BARRETT,2026-04-23T22:18:27.504170,Wired.com
What Happens When a Nuclear Site Is Hit?,https://www.wired.com/story/heres-what-can-happen-when-the-us-bombs-irans-nuclear-sites/,"As strikes continue on Iran’s nuclear facilities, the real danger isn’t the explosion, but what happens if critical safety systems fail—and how that risk could spread across the Gulf.",By JETHU ABRAHAM,2026-04-23T22:18:36.940221,Wired.com
Unmasking the Paramilitary Agents Behind Trump’s Violent Immigration Crackdown,https://www.wired.com/story/border-patrol-bortac-borstar-use-of-force-midway-blitz/,A WIRED analysis of DHS records identified dozens of specialized federal agents who used force against US civilians during the largest known deployment of its kind in US history.,By ALI WINSTON,2026-04-23T22:18:42.818232,Wired.com
Apple Will Push Out Rare ‘Backported’ Patches to Protect iOS 18 Users From DarkSword Hacking Tool,https://www.wired.com/story/apple-will-push-out-rare-backported-patches-to-protect-ios-18-users-from-darksword-hacking-tool/,"As DarkSword spreads, Apple tells WIRED it will enable iOS 18-specific fixes for millions of iPhone owners who remain on that iOS version rather than force them to update to iOS 26.",By ANDY GREENBERG,2026-04-23T22:18:49.518679,Wired.com
Iran Threatens to Start Attacking Major US Tech Firms on April 1,https://www.wired.com/story/iran-threatens-to-start-attacking-major-us-tech-firms-on-april-1/,"Tech giants like Apple, Google, and Microsoft are among those on a target list released by Iran’s Islamic Revolutionary Guard Corps.",By DELL CAMERON,2026-04-23T22:18:55.307650,Wired.com
The US Military’s GPS Software Is an $8 Billion Mess,https://www.wired.com/story/the-us-militarys-gps-software-is-an-8-billion-mess/,"The GPS Next-Generation Operational Control System was due for completion in 2016. Ten years later, the software for controlling the military’s GPS satellites still doesn’t work.","By STEPHEN CLARK, ARS TECHNICA",2026-04-23T22:19:01.655437,Wired.com
The Broken System That Keeps Shipping Crews Stranded in the Strait of Hormuz,https://www.wired.com/story/legal-loopholes-leave-shipping-crews-stranded-in-the-strait-of-hormuz/,"Vessels are increasingly being abandoned during the war on Iran, revealing a hidden failure in the global systems that keep goods—and people—moving.",By RUCHI KUMAR,2026-04-23T22:19:08.611734,Wired.com
Security News This Week: Iranian Hackers Breached Kash Patel’s Email—but Not the FBI’s,https://www.wired.com/story/iranian-hackers-breached-the-fbi-directors-personal-email-but-not-the-fbi/,"Plus: Apple makes big claims about the effectiveness of its Lockdown Mode anti-spyware feature, Russia moves to implement homegrown encryption for 5G, and more.",By ANDY GREENBERG,2026-04-23T22:19:14.930939,Wired.com
A Startup Says It Grew Human Sperm in a Lab—and Used It to Make Embryos,https://www.wired.com/story/startup-says-it-grew-human-sperm-in-a-lab-and-used-it-to-make-embryos/,"Paterna Biosciences says it has determined the set of instructions needed to turn sperm-making stem cells into ""normal, mature"" sperm.",By EMILY MULLIN,2026-04-23T22:19:20.242490,Wired.com
Scientists Gave Cocaine to Salmon and You Will Absolutely Believe What Happened Next,https://www.wired.com/story/cocaine-fueled-wild-salmon-swam-twice-as-far-as-sober-ones/,"After scientists exposed wild fish to cocaine and a cocaine metabolite, they observed that, as in the lab, fish on cocaine do not act like normal fish.",By MARTA MUSSO,2026-04-23T22:19:26.803294,Wired.com
New Gas-Powered Data Centers Could Emit More Greenhouse Gases Than Entire Nations,https://www.wired.com/story/new-gas-powered-data-centers-could-emit-more-greenhouse-gases-than-entire-nations/,"A WIRED review of permits for data center projects using natural gas and linked to OpenAI, Meta, Microsoft, and xAI shows they could emit more than 129 million tons of greenhouse gases per year.",By MOLLY TAFT,2026-04-23T22:19:33.494866,Wired.com
There’s New Evidence for How Loneliness Affects Memory in Old Age,https://www.wired.com/story/theres-new-evidence-for-how-loneliness-affects-memory-in-old-age/,A longitudinal study found that loneliness is more closely linked to lapses in immediate and delayed recall than to the overall speed of cognitive decline.,By JORGE GARAY,2026-04-23T22:19:39.018056,Wired.com
Flight Path Data Shows How Mosquitoes Target Humans,https://www.wired.com/story/flight-path-data-shows-how-mosquitoes-target-humans/,"Scientists have quantified what draws mosquitoes to people—which could help make better, life-saving bug traps.",By RITSUKO KAWAI,2026-04-23T22:19:45.895621,Wired.com
Scientists Have Made a French Fry Breakthrough,https://www.wired.com/story/scientists-have-made-french-fry-breakthrough/,Researchers have developed a method of making french fries that results in a healthier bite without sacrificing crispiness.,By MARTA MUSSO,2026-04-23T22:19:52.445878,Wired.com
"6,000 Meters Under the Pacific, Japan Seeks Independence From China on Rare Earths",https://www.wired.com/story/under-the-pacific-japan-seeks-independence-from-china-on-rare-earths/,"Tokyo is succeeding where the rest of the world has failed, reducing its reliance on Beijing for crucial rare earth elements—thanks to an enormous underwater deposit discovered on a remote island.",By LORENZO LAMPERTI,2026-04-23T22:19:59.025825,Wired.com
Marine Animals in the Strait of Hormuz Don’t Get a Ceasefire,https://www.wired.com/story/marine-animals-in-the-strait-of-hormuz-dont-get-a-ceasefire/,"As ships return to the Strait of Hormuz, mines, sonar, and congestion continue to reshape the Gulf beneath the surface.",By EVANGELINE ELSA,2026-04-23T22:20:04.756887,Wired.com
Trump’s War on Iran Could Screw Over US Farmers,https://www.wired.com/story/trumps-war-on-iran-could-screw-over-us-farmers/,The Middle East supplies a huge amount of the world’s fertilizer. Conflict in the region has sent prices soaring ahead of the critical spring planting season.,By MOLLY TAFT,2026-04-23T22:20:11.871696,Wired.com
The Last Mystery of Antarctica’s ‘Blood Falls’ Has Finally Been Solved,https://www.wired.com/story/the-last-mystery-of-antarcticas-blood-falls-has-finally-been-solved/,New research sheds light on what drives reddish water to emerge from underground to pour onto the Taylor Glacier.,By SIMONE VALESINI,2026-04-23T22:20:37.348092,Wired.com
The US Government Will Ask Data Centers How Much Power They Use,https://www.wired.com/story/the-us-government-to-ask-data-centers-how-much-power-they-use/,"In a letter obtained by WIRED, the Energy Information Administration tells two senators that it plans to develop a mandatory assessment of data centers' energy use.",By MOLLY TAFT,2026-04-23T22:20:42.863727,Wired.com
There’s a Secret Ingredient to Making Luxury Ice at Home,https://www.wired.com/story/secret-ingredient-to-making-luxury-ice-at-home/,"Nice ice is big business, but you can get perfectly clear cubes at home without freezing your assets.",By JEREMY WHITE,2026-04-23T22:20:48.208252,Wired.com
A Single Strike Won’t Shut Off the Gulf’s Desalination System,https://www.wired.com/story/a-single-strike-wont-shut-off-the-gulfs-desalination-system/,"The Gulf’s water system is built with layers of backup, but it relies on continuous operation to hold.",By DANA ALOMAR,2026-04-23T22:20:54.463453,Wired.com
A New Google-Funded Data Center Will Be Powered by a Massive Gas Plant,https://www.wired.com/story/a-new-google-funded-data-center-will-be-powered-by-a-massive-gas-plant/,Documents show that one of Google’s new data centers would be powered by a natural gas plant that emits millions of tons of emissions each year—an increasingly common trend in the industry.,By MOLLY TAFT,2026-04-23T22:21:00.175938,Wired.com
"One Way or Another, Most of Our Electricity Comes From Solar Power",https://www.wired.com/story/most-of-our-electricity-comes-from-solar-power/,"That’s good news, since the forecast is sunshine for the next 5 billion years.",By RHETT ALLAIN,2026-04-23T22:21:06.910187,Wired.com
Senators Demand to Know How Much Energy Data Centers Use,https://www.wired.com/story/senators-demand-to-know-how-much-energy-data-centers-use/,"In a letter sent Thursday morning, Elizabeth Warren and Josh Hawley press the Energy Information Agency to mandate annual electricity disclosure for data centers.",By MOLLY TAFT,2026-04-23T22:21:14.337882,Wired.com
The AI Race Is Pressuring Utilities to Squeeze More From Europe’s Power Grids,https://www.wired.com/story/europe-squeeze-power-energy-grid-ai-data-center/,"As data center developers queue up to connect to power grids across Europe, network operators are experimenting with novel ways of clearing room for them.",By JOEL KHALILI,2026-04-23T22:21:20.161928,Wired.com
Iran War Puts Global Energy Markets on the Brink of a Worst-Case Scenario,https://www.wired.com/story/iran-war-puts-global-energy-markets-on-the-brink-of-a-worst-case-scenario/,"“This will be so, so, so, so, so bad,” one analyst says.",By MOLLY TAFT,2026-04-23T22:21:26.884507,Wired.com
How to Watch the Lyrids Meteor Shower at Its Peak,https://www.wired.com/story/how-to-watch-the-lyrids-meteor-shower-at-its-peak-2026/,"Between the night of April 21 and the early morning of April 22, those looking in the right place will see the sky light up with 15 to 20 meteors per hour.",By JORGE GARAY,2026-04-23T22:21:33.389033,Wired.com
How Can Astronauts Tell How Fast They’re Going?,https://www.wired.com/story/how-can-astronauts-tell-how-fast-theyre-going/,"Weirdly, spaceships have no direct way to gauge their own speed. Luckily, we can use some physics tricks to figure it out.",By RHETT ALLAIN,2026-04-23T22:21:39.995678,Wired.com
NASA Wants to Put Nuclear Reactors on the Moon,https://www.wired.com/story/nasa-wants-to-put-nuclear-reactors-on-the-moon/,The White House has announced that NASA will work with the Departments of Defense and Energy to put nuclear reactors in orbit and on the surface of the moon.,By JORGE GARAY,2026-04-23T22:21:45.771634,Wired.com
"The Caves That Could Help Us Find, or Become, Aliens",https://www.wired.com/story/the-caves-that-could-help-us-find-or-become-aliens/,"From lava tubes on Mars to ice pockets on Europa, subterranean environments may offer the best chance of finding life—and living safely—beyond our planet.",By BECKY FERREIRA,2026-04-23T22:21:51.452121,Wired.com
The ‘Lonely Runner’ Problem Only Appears Simple,https://www.wired.com/story/the-lonely-runner-problem-only-appears-simple/,"Take a group of runners circling a track at unique, constant paces. Answering the question of how many will always end up running alone, no matter their speed, has vexed mathematicians for decades.",By PAULINA ROWIŃSKA,2026-04-23T22:21:57.236330,Wired.com
A Quantum Leap for the Turing Award,https://www.wired.com/story/a-quantum-leap-for-the-turing-award/,Charles Bennett and Gilles Brassard pioneered quantum information theory. Now they've been awarded the highest honor in computer science.,By STEVEN LEVY,2026-04-23T22:22:03.878791,Wired.com
You Can Approximate Pi by Dropping Needles on the Floor,https://www.wired.com/story/you-can-approximate-pi-by-dropping-needles-on-the-floor/,Who needs a supercomputer when you can calculate pi with a box of sewing needles?,By RHETT ALLAIN,2026-04-23T22:22:10.791296,Wired.com
How Can a Locomotive Pull a Long Train That’s Much Heavier?,https://www.wired.com/story/how-can-a-locomotive-pull-a-train-thats-much-heavier/,"For railroads, it’s all about managing static and kinetic friction.",By RHETT ALLAIN,2026-04-23T22:22:17.561911,Wired.com
This Beanie Is Designed to Read Your Thoughts,https://www.wired.com/story/this-beanie-is-designed-to-read-your-thoughts/,California-based startup Sabi is developing a thought-to-text wearable that could usher in the cyborg future.,By EMILY MULLIN,2026-04-23T22:22:23.666316,Wired.com
A New Implant Aims to Rewire the Brain to Help Stroke Patients,https://www.wired.com/story/a-new-implant-aims-to-rewire-the-brain-to-help-stroke-patients/,Epia Neuro’s brain-computer interface will include a motorized glove to help stroke patients recover movement in their hand.,By EMILY MULLIN,2026-04-23T22:22:29.664219,Wired.com
Meet the Man Making Music With His Brain Implant,https://www.wired.com/story/meet-the-man-making-music-with-his-brain-implant/,Galen Buckwalter says brain-computer interfaces will have to be enjoyable to use if the technology is going to be successful.,By EMILY MULLIN,2026-04-23T22:22:35.405039,Wired.com
A Billionaire-Backed Startup Wants to Grow 'Organ Sacks' to Replace Animal Testing,https://www.wired.com/story/a-billionaire-backed-startup-wants-to-grow-organ-sacks-to-replace-animal-testing/,"R3 Bio has a bold idea for replacing lab animals: genetically-engineered whole organ systems that lack a brain. The long-term goal, says a cofounder, is to make human versions.",By EMILY MULLIN,2026-04-23T22:22:40.959593,Wired.com
Study of Buddhist Monks Finds Meditation Alters Brain Activity,https://www.wired.com/story/study-of-buddhist-monks-finds-meditation-alters-brain-activity/,"Meditation isn’t thinking about nothing. New research reinforces that it’s a mind-altering, dynamic state that promotes focus, learning, and well-being.",By JAVIER CARBAJAL,2026-04-23T22:22:45.814207,Wired.com
Neuroscientists Decipher Procrastination: A Brain Mechanism Explains Why People Leave Certain Tasks for Later,https://www.wired.com/story/neuroscience-procrastination-brain-mechanism-task-avoidance/,New research has discovered that a neural circuit may explain procrastination. Scientists were able to disrupt this connection using a drug.,By FERNANDA GONZÁLEZ,2026-04-23T22:22:52.601516,Wired.com
Brain Gear Is the Hot New Wearable,https://www.wired.com/story/expired-tired-wired-wearables/,"Smartwatches are cool and all, but have you considered wearable neurotech?",By EMILY MULLIN,2026-04-23T22:22:59.115103,Wired.com
AI’s Next Frontier? An Algorithm for Consciousness,https://www.wired.com/story/ai-sentient-consciousness-algorithm/,Some of the world’s most interesting thinkers about thinking think they might’ve cracked machine sentience. And I think they might be onto something.,By WILL KNIGHT,2026-04-23T22:23:07.587261,Wired.com
Dark Matter May Be Made of Black Holes From Another Universe,https://www.wired.com/story/dark-matter-may-be-made-of-black-holes-from-another-universe/,A model of the cyclic universe suggests that dark matter could be a population of black holes predating the Big Bang.,By JORGE GARAY,2026-04-23T22:23:13.444171,Wired.com
You Should Be More Freaked Out by Shingles,https://www.wired.com/story/shingles-is-a-bigger-deal-than-you-think/,"The viral infection leaves millions with chronic pain, increased stroke risk, and lifelong nerve damage—yet vaccination rates remain dangerously low.",By ROSIE TAYLOR,2026-04-23T22:23:18.615754,Wired.com
Artemis II Astronauts Return Safely to Earth After Historic Flight Around the Moon,https://www.wired.com/story/artemis-ii-returns-from-historic-flight-around-the-moon/,"After traveling a greater distance from Earth than any humans before them, the astronauts of Artemis II have safely returned home.",By JAY BENNETT,2026-04-23T22:23:24.793846,Wired.com
The Future of the Artemis Program Is Riding on Reentry,https://www.wired.com/story/the-future-of-the-artemis-program-is-riding-on-reentry/,"Entire space programs have been canceled after a failure in the reentry phase. In the final test for Artemis II, astronauts will travel at 32 times the speed of sound as they return from the moon.",By JORGE GARAY,2026-04-23T22:23:30.971205,Wired.com
No One Knows Where US Vaccine Policy Goes Next,https://www.wired.com/story/no-one-knows-where-us-vaccine-policy-goes-next/,"Robert F. Kennedy Jr.’s sweeping changes to federal vaccine guidance are paused for now. But even if they’re reversed, lasting damage has already been done.",By EMILY MULLIN,2026-04-23T22:23:35.945808,Wired.com
How and When to Watch the Artemis II Mission’s Return to Earth,https://www.wired.com/story/how-and-when-to-watch-the-artemis-ii-missions-return-to-earth/,"Splashdown for the Artemis II crew is scheduled for Friday evening, and NASA will livestream the historic homecoming.",By JORGE GARAY,2026-04-23T22:23:42.905398,Wired.com
Artemis II Astronauts Witnessed 6 Meteorites Colliding With the Moon,https://www.wired.com/story/artemis-ii-astronauts-witnessed-6-meteorites-collide-with-the-moon/,"The moon gets hit by space debris all the time, but some of it is so large that the impact generates light that can be seen thousands of kilometers away.",By JORGE GARAY,2026-04-23T22:23:49.049735,Wired.com
